,prop_id,address,comuna,loc_address,loc_latitude,loc_longitude,state,closest_equip_cult_dist
0,1,"Quinta Normal, Salvador Gutierrez con Nuñez de Balboa",Quinta Normal,"Quinta Normal, Provincia de Santiago, Región Metropolitana de Santiago, Chile",-33.42827555,-70.69992761772909,False,3.0432841118968033
1,2,"Santiago, Avenida El Rosal",Santiago,"Avenida El Rosal, Santa María de Maipú, Maipú, Provincia de Santiago, Región Metropolitana de Santiago, 9250678, Chile",-33.4897141,-70.7757485,True,2.8448138573034685
2,3,"Maipú, El Huaso 2546 Maipú",Maipú,"Maipú, Provincia de Santiago, Región Metropolitana de Santiago, 9251542, Chile",-33.5094409,-70.756182,False,0.0
3,4,"Puente Alto, Metro sótero del rio",Puente Alto,"Puente Alto, Provincia de Cordillera, Región Metropolitana de Santiago, Chile",-33.6095279,-70.5754736,False,0.0
4,5,"Maipú, Ramayana  cerca Metro Plaza Maipu",Maipú,"Maipú, Provincia de Santiago, Región Metropolitana de Santiago, 9251542, Chile",-33.5094409,-70.756182,False,0.0
5,6,"Paine, Dieciocho de Septiembre (AG)/Pedro Vargas",Paine,"Paine, Provincia de Maipo, Región Metropolitana de Santiago, Chile",-33.8101102,-70.7390236,False,26.922500173258
6,7,"Maipú, El Conquistador/Autopista del Sol",Maipú,"Maipú, Provincia de Santiago, Región Metropolitana de Santiago, 9251542, Chile",-33.5094409,-70.756182,False,0.0
7,8,"Santiago, Santa Lidia, Maipú, Chile",Santiago,"Santiago, Provincia de Santiago, Región Metropolitana de Santiago, 8320000, Chile",-33.4377756,-70.6504502,False,0.0
8,9,"San Miguel, San Miguel, Región Metropolitana",San Miguel,"San Miguel, Gran Avenida José Miguel Carrera, San Miguel, Provincia de Santiago, Región Metropolitana de Santiago, 8910183, Chile",-33.4887135,-70.6510759,True,2.4564094696047922
9,10,"Vitacura, Joaquin cerda",Vitacura,"Joaquín Cerda, Vitacura, Provincia de Santiago, Región Metropolitana de Santiago, 7640639, Chile",-33.3851876,-70.5737183,True,0.9212452068171485
10,11,"Puente Alto, Portezuelo Tobalaba, casa de 2 pisos, 3 Dorm y 2 Baños, amplio terreno",Puente Alto,"Puente Alto, Provincia de Cordillera, Región Metropolitana de Santiago, Chile",-33.6095279,-70.5754736,False,0.0
11,12,"Colina, El Algarrobo / Avenida del Valle",Colina,"Colina, Região Imediata de Barretos, Região Geográfica Intermediária de Ribeirão Preto, São Paulo, Região Sudeste, 14770-000, Brasil",-20.711443,-48.53867,False,1816.8198646604321
12,13,"Providencia, Miguel Claro, metro Santa Isabel",Providencia,"Providencia, Los Abades, Nariño, Colombia",1.2420408,-77.6009953089243,False,0.0
13,14,"Las Condes, Camino Otoñal",Las Condes,"Camino Otoñal, La Foresta, Las Condes, Provincia de Santiago, Región Metropolitana de Santiago, 7630000, Chile",-33.407257,-70.5175304,True,1.9443875216787327
14,15,"Lo Barnechea, Laguna de Lo Barnechea",Lo Barnechea,"Lo Barnechea, Provincia de Santiago, Región Metropolitana de Santiago, Chile",-33.2935888,-70.39035501440654,False,0.0
15,16,"Calera de Tango, Calle 6",Calera de Tango,"Calle Manantial, Villa Puerta del Inca, Calera de Tango, Provincia de Maipo, Región Metropolitana de Santiago, Chile",-33.630214,-70.7790107,True,13.562161971588703
16,17,"Puente Alto, San hugo",Puente Alto,"San Hugo, Condominio Tempus, Puente Alto, Provincia de Cordillera, Región Metropolitana de Santiago, 8151746, Chile",-33.590539,-70.5614108,True,2.477814768329008
17,18,"La Reina, Pontevedra/ Av. Vicente Pérez Rosales",La Reina,"La Reina, Provincia de Santiago, Región Metropolitana de Santiago, Chile",-33.4557204,-70.5353594,False,0.0
18,19,"Maipú, Americo Vespucio/Primo de Rivera",Maipú,"Primo de Rivera / Vespucio, Avenida Américo Vespucio, Maipú, Provincia de Santiago, Región Metropolitana de Santiago, 9250678, Chile",-33.4947158,-70.7471663,True,1.8355354281644456
19,20,"La Granja, La Granja, Región Metropolitana",La Granja,"La Granja, Coronel, Villa Ignacio Serrano, La Granja, Provincia de Santiago, Región Metropolitana de Santiago, 8231472, Chile",-33.5411318,-70.6159781,True,4.665396137686093
20,21,"Buin, Calle el bosque",Buin,"Buin, Provincia de Maipo, Región Metropolitana de Santiago, Chile",-33.7319741,-70.7419619,False,19.4908754652278
21,22,"Colina, ¡se aceptan ofertas!/colegio san anselmo",Colina,"Colina, Região Imediata de Barretos, Região Geográfica Intermediária de Ribeirão Preto, São Paulo, Região Sudeste, 14770-000, Brasil",-20.711443,-48.53867,False,1816.8198646604321
22,23,"Las Condes, Camino Del Observatorio/Los Pintores",Las Condes,"Las Condes, Provincia de Santiago, Región Metropolitana de Santiago, Chile",-33.4247879,-70.51749760753927,False,0.0
