,prop_id,address,comuna,loc_address,loc_latitude,loc_longitude,state,closest_equip_cult_dist
0,1,"Calera de Tango, Queilen",Calera de Tango,"Queilen, Condominio Santa Teresa, Palermo, Calera de Tango, Provincia de Maipo, Región Metropolitana de Santiago, 9710000, Chile",-33.625736,-70.8036481,True,13.630972914448495
1,2,"Calera de Tango, Queilen",Calera de Tango,"Queilen, Condominio Santa Teresa, Palermo, Calera de Tango, Provincia de Maipo, Región Metropolitana de Santiago, 9710000, Chile",-33.625736,-70.8036481,True,13.630972914448495
2,3,"Calera de Tango, Avenida calera de tango   condominio/santa teresa de tango - el barrancon",Calera de Tango,"Calera de Tango, Provincia de Maipo, Región Metropolitana de Santiago, Chile",-33.6308224,-70.7592987,False,13.118610895828157
3,4,"Calera de Tango, Paradero 14 1/2/5 kilometros cruce calera de tango",Calera de Tango,"Calera de Tango, Provincia de Maipo, Región Metropolitana de Santiago, Chile",-33.6308224,-70.7592987,False,13.118610895828157
4,5,"Calera de Tango, Condominio El Trébol de Calera de Tango",Calera de Tango,"Calera de Tango, Provincia de Maipo, Región Metropolitana de Santiago, Chile",-33.6308224,-70.7592987,False,13.118610895828157
5,6,"Calera de Tango, Lonquen Sur/Calera de Tango",Calera de Tango,"Calera de Tango, Provincia de Maipo, Región Metropolitana de Santiago, Chile",-33.6308224,-70.7592987,False,13.118610895828157
6,7,"Calera de Tango, Graciela Letelier de Ibañez N 29, camino lonquen. A 7 km de mall plaza oeste",Calera de Tango,"Calera de Tango, Provincia de Maipo, Región Metropolitana de Santiago, Chile",-33.6308224,-70.7592987,False,13.118610895828157
7,8,"Calera de Tango, Camino loreto/condominio santa cruz de loreto",Calera de Tango,"Calera de Tango, Provincia de Maipo, Región Metropolitana de Santiago, Chile",-33.6308224,-70.7592987,False,13.118610895828157
8,9,"Calera de Tango, Lonquen/Calera de tango",Calera de Tango,"Colegio Calera de Tango, Camino a Lonquén, Condominio Santa Teresa, Palermo, Calera de Tango, Provincia de Maipo, Región Metropolitana de Santiago, 9710000, Chile",-33.63662265,-70.81142728474555,True,15.009905458318688
9,10,"Calera de Tango, Condominio Los Almendros Sur/Avda Calera de Tango CV",Calera de Tango,"Calera de Tango, Provincia de Maipo, Región Metropolitana de Santiago, Chile",-33.6308224,-70.7592987,False,13.118610895828157
10,11,"Calera de Tango, Condominio la virgen/frente a restaurante kugenhouse",Calera de Tango,"Calera de Tango, Provincia de Maipo, Región Metropolitana de Santiago, Chile",-33.6308224,-70.7592987,False,13.118610895828157
11,12,"Calera de Tango, Graciela Letelier",Calera de Tango,"Calera de Tango, Provincia de Maipo, Región Metropolitana de Santiago, Chile",-33.6308224,-70.7592987,False,13.118610895828157
12,13,"Calera de Tango, Calera de Tango",Calera de Tango,"San Agustín de Tango, Calera de Tango, Provincia de Maipo, Región Metropolitana de Santiago, Chile",-33.6184816,-70.7559075,True,12.094225419265031
13,14,"Calera de Tango, Parcela de 5.000 m2 con casa en ex Colonia El Trébol. Calera de Tango",Calera de Tango,"Calera de Tango, Provincia de Maipo, Región Metropolitana de Santiago, Chile",-33.6308224,-70.7592987,False,13.118610895828157
14,15,"Cerrillos, Don orione",Cerrillos,"Don Orione, Villa Santa Adela, Cerrillos, Provincia de Santiago, Región Metropolitana de Santiago, 9222145, Chile",-33.5016325,-70.7171756,True,3.2750483011099107
